user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_recall,context_precision
What type of detergents are recommended for laundering children's sleepwear to avoid affecting their flammability?,"['10.7.4 Washing process and cycle\n\nLaundering or drycleaning can remove ﬂ ame retardant material or other additives and can thereby affect burning characteristics. If, for example, ﬂ ame retardant textile products are laundered in hard water with soaps, as opposed to synthetic detergents, deposits of calcium soap may increase\n\n(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)\n\n274\n\nEngineering apparel fabrics and garments\n\nﬂ ammability. This is the reason that care instructions on children’s sleepwear urge users to avoid laundering with soaps and, preferably, to use phosphate-containing detergents.27\n\n10.8 Effect of garment design\n\nGarment design is one of the factors that also affects ﬂ ammability. Accord- ing to ﬁ ndings by the Shirley Institute, carelessly selected printed patterns, embroidered motifs, sewing threads, zip tapes and narrow fabric trimmings could all present ﬂ ammability hazards in a garment.14\n\nGarment ﬁ tting and style', 'that the fabric is free from residual substances, such as silicone de-foamers, residual alkaline, rewetting tensides (detergents, emulsiﬁ ers), preparations and sizing residues.48 Wetting agents are included to enable even wetting and application of the ﬂ uoro-chemical. Such wetting agents should preferably volatilise during the subsequent drying or curing processes so as to prevent re-wetting.48 Various ‘supplementary’ products can be applied with the ﬂ uoro-chemical so as to enhance the performance of the ﬂ uoro-chemical and extend the range of properties imparted to the fabric,48 these including', 'Daily wear garments, e.g. underwear or T-shirts, need to be washed after being worn. Therefore, this kind of garment is usually made from compara- tively durable and easy-care ﬁ bres, such as cotton and polyester, which allow machine washing. Some garments, such as those containing down (used during cold weather), usually require washing only about twice a year. The cleaning procedure for this kind of garment is more complicated than for daily wear garments. For baby clothes, choice of a detergent which will not produce an allergic reaction in the baby is very important. To preserve the ﬁ re-retardant qualities of baby clothes, they should be laundered in a detergent, not a soap, following the manu- facturer’s instructions. It is probably not a good idea to use fabric softener in the washer or dryer. It tends to be highly perfumed and may cause a rash on the baby.25\n\nthat\n\n13.8.2 Fastenings', '6.3.4 Repellency testing\n\nRepellent finishes are important components of many protective textiles. Applica- tions for repellent textiles range from medical textiles to raincoats. The low surface energies provided by repellent finishes can keep solid and liquid soils from adhering to treated fiber surfaces. Finishes based on hydrocarbon and silicone chemistries can yield water repellent textiles, while fluorochemicals are necessary to achieve the low surface energies needed for dry soil and oil repellency.43']","Phosphate-containing detergents are recommended to avoid affecting the flammability of children's sleepwear, as laundries with soaps can increase flammability due to deposits of calcium soap.",Phosphate-containing detergents are recommended.,1.0,0.8689078723613305,1.0,0.9999999999
What is the purpose of examining the reaction of fibers to solvents?,"['5\n\n6\n\nChemical testing of textiles\n\nor fabric made up of a mixture of fibers is also often carried out. Identification tests are performed by utilizing tests that take advantage of the different chemical (and to some extent physical) characteristics of fibers. While there are some very elaborate analytical instruments that can be used to identify the chemical compo- sition of materials and fibers in most circumstances, the textile laboratory relishes simple qualitative methods of identification of fibers. Here, three procedures are introduced, involving burning, solubility and dye staining tests of the fibers. These experiments will enable the reader to gain some insight in identifying various textile fibers using simple techniques.\n\n1.4.1\n\nFiber identification by burning\n\nPurpose: To make some observations about the reaction of various fibers to an open flame.', 'The chemical testing of textile fibers has continued to receive special attention from producers, manufacturers, governmental agencies, domestic and industrial consumers. Of particular interest is the number of publications on recent methods of testing and analysis of textiles in general but with specific focus on physical testing, analysis and quality control. This chapter will present selective discussions of the chemical characteristics of major fiber types since an understanding of the fiber chemistry and morphology will aid the chemical analysis of these fibers/ yarns. The chapter will also introduce to the reader a selection of chemical tests that are useful in a textile laboratory and document some of the more common chemical methods of analyzing single textile fibers and yarns. Summaries of chemical testing using modern instrumental/analytical tools such as scanning electron microscopy, SEM, transmission electron microscopy, TEM and Fourier transform infrared spectroscopy,', 'into individual fibres, which would destroy film-like deposits. However, deposits can sometimes be better analysed by means of staining tests and the preparation of cross-sections of yarn or fabric. Mahall5 investigated fibre adhesion and size residue (including distribution of size and over-sizing) in this way.', 'evaluation. Polymers and fibers are usually analyzed as pressed films although solid samples can be analyzed directly if the FTIR apparatus has an appropriately attached microscopic unit. Sometimes, absorption band ratios are used and give the best results.']","The context provided does not explicitly state the purpose of examining the reaction of fibers to solvents. Therefore, I don't know based on the given information.",To examine the reaction of fibers to solvents and to use these observations to identify fibers.,1.0,0.0,0.0,0.9999999999
What is an advantage of using UV inks in terms of print head maintenance?,"['on maintenance. UV inks can provide good colour value and when optimised accurately. UV inks can be used to produce a very clean colour gamut. An additional feature is that as the UV ink does not cure before it is exposed to UV light there is minimum or no risk for a premature drying of the ink which in turns extend the life of the print head to ensure less down time when the UV inks are stored and managed properly. Usually UV inks are typically 100% solids which imply that when they are printed on the substrate after curing they almost remain there. As', 'dye solubility, visible spectrum, density (specific gravity), solid content, and stability of the inks as well as health, safety, and environmental considerations. As some these properties are more specifically related to the print head technology (such as, the type or model of the print head) so these properties must be optimised to meet the specific operation range of the print head used for the printing purpose. Jettability and drop placement accuracy of the inkjet print head depend on the interaction of inks with the print head and its components. It also important to note that nature of ink plays a vital role in terms of technical performance which is defined by the level of interactions between the inks and the substrates. A primary consideration is the ink must be compatible with the printer print head and should not cause any corrosion to the metallic parts, softening or swelling of the organic parts along and any type of contaminations. Inks should be free from chemical', 'time. Consistency can also vary due to the inks being heated up to nearly vapour level to create the ink droplet, which can cause some of the colourant or binder to be deposited on the print head resistor (Tincher, 2003).', 'usually made from steel). However, there are some piezoelectric drop-on demand ceramic print heads which allow a reliable jetting of fluids from across the full range of pH.\n\nSolids Percentage\n\nDifferent factors such as viscosity, elasticity and the particle size directly control the amount of solids which can be present in an ink fluid. Because, when the solids content of the fluid is too high it may dampen the pressure pulse which is necessary to eject or break up the inkjet drop and also may prevent reliable printing.\n\nShear']","An advantage of using UV inks in terms of print head maintenance is that there is minimum or no risk for a premature drying of the ink, which extends the life of the print head. This ensures less down time when the UV inks are stored and managed properly.","The UV ink does not cure before it is exposed to UV light, which minimizes the risk of premature drying of the ink and extends the life of the print head.",1.0,0.9999999999999994,1.0,0.9999999999
What are the different methods of retting mentioned in the text?,"['Retting\n\n(1) Cold water retting, either running or stagnant water. (2) Dew retting. (3) Warm water retting.\n\nRETTING TANK\n\nA—Inlet; B—Undisturbed Water; C—Bundles of Flax.\n\nCold water retting in running water is practiced in Belgium. Retting in stagnant water is the method usually\n\nPage 38\n\nABC Amber ePub Converter Trial version, http://www.processtext.com/abcepub.html\n\nemployed in Ireland and Russia. The retting in stagnant water is more rapidly done, but there is danger of over-retting on account of the organic matter retained in the water which favors fermentation. In this case the fiber is weakened.\n\nRETTING\n\nFLAX IN THE RIVER LYS, BELGIUM\n\nFrom the Government Bulletin, ""Flax for Seed and Fiber.""\n\nFIBERS OF FLAX\n\nPage 39\n\ntextilestudycenter.com\n\nABC Amber ePub Converter Trial version, http://www.processtext.com/abcepub.html', 'Bast ﬁbers (ﬂax, hemp, jute, kenaf and others) are composed of cellulose (over 50%), hemicelluloses, lignin, pectins, fats, waxes and others sub- stances. Bast ﬁbres are extracted from the plant stem by a process called ‘retting’ as mentioned before. The purpose of retting is the partial degra- dation of the ﬁbre materials, in such a way that ﬁbres can be obtained from the plant stems. Former retting processes of ﬂax were based on incubation with bacteria and moisture (the stem in an open grass ﬁeld) or in water (immersing the stem in slow rivers); nowadays retting is more often carried out in tanks of water at 30°C. Despite being an old process, much attention has been recently given to retting. The use of enzymes like hemicellulases and pectinases for retting allows a more controlled degradation of the ﬁbres and a reduction of efﬂuents. The up-grading of bast ﬁbres is based on the use of cellulases for cleaning and softening, simplifying further processing. However, in retting or', 'From the Government Bulletin, ""Flax for Seed and Fiber.""\n\nFIBERS OF FLAX\n\nPage 39\n\ntextilestudycenter.com\n\nABC Amber ePub Converter Trial version, http://www.processtext.com/abcepub.html\n\nIn dew retting, the flax is spread on the field and exposed to the action of the weather for several weeks without any previous steeping. This method of retting is practiced in Germany and Russia. Warm water retting and chemical retting have met with limited success.\n\nWhen the retting is complete, the flax is set up in sheaves to dry. The next operations consist of ""breaking,"" ""scutching,"" and ""hackling"" and are now done by machinery.\n\nBreaking removes the woody center from the retted and dried flax by being passed through a series of fluted rollers. The particles of woody matter adhering to the fibers are detached by scutching.\n\nHackling', 'and gums, starting at the cambium and extending outwards so that the outer cells of the cortex are the last to disintegrate. Retting is better if the stems are uniform in thickness since large differences in diameter mean that the thin stems will be retted before the thicker ones and by removing the stems at an average time poor quality arises from the thin stems being over retted and the thick stems under-retted. Similarly at the root end of the stem the bark is stronger and more resistant to the micro-bacterial attack than the middle of the stem which, in turn, is more resistant than the top end. The type of water which is used for retting has an influence on the value of the fibre, for instance stagnant pools where the same water is used over and over again become loaded with iron salts and the fibre is discoloured to a metallic grey shade. The best place for retting is in slow-running streams which are as free from pollution as possible. Retting, therefore, is a critical stage in']","The different methods of retting mentioned in the text include:

1. Cold water retting in running water (practiced in Belgium)
2. Cold water retting in stagnant water (used in Ireland and Russia)
3. Dew retting (practiced in Germany and Russia)
4. Warm water retting
5. Chemical retting (mentioned to have met with limited success)","The different methods of retting mentioned are cold water retting, dew retting, and warm water retting.",1.0,0.9999999999999994,1.0,0.9999999999
What is the illuminating angle for the 45°/0° measurement geometry?,"['on both methods is the illumination and the observing angle, related to the vertical axis of the object. Depending on their method of determining the colour stimulus, there are two main categories of instruments: colorimeters and spectrophotometers. Colorimeters measure the CIE tri-stimulus values as quantities, whereas spectrophotometers calculate the colorimetric quantities from spectral data, in variable wavelength ranges and with different bandwidths. The location of the illuminating source and position of the observing optics directing reflected light to a detector have resulted in the commonly used geometries shown in Table 2.2.', 'Table 2.2 Common measurement geometries\n\nGeometry abbreviation\n\nIlluminating angle\n\nViewing angle\n\nComment\n\nd/0°\n\nDiffuse (sphere)\n\nPerpendicular\n\nStandard in paper\n\nindustry\n\n45°/0° 0°/45°\n\n45° from the normal Perpendicular\n\nPerpendicular 45° from the normal\n\nDirection sensitive Direction sensitive\n\n45°/0°:c d/8°\n\n45° circumferentially Diffuse (sphere)\n\nPerpendicular 8° from the normal\n\nNot direction sensitive Allows for in- and\n\nexclusion of specular component\n\nWPNL0206\n\n36\n\nAdvances in apparel production\n\ngeometry and are aware of the specification limitations of the individual instruments.', 'The lower velocity of the waves means that the light waves are retarded on passing through a medium of high refractive index. If they are then combined with a beam that has passed through a different medium, various interference phenomena occur, and these may be utilised in the measurement of refractive index. In general, the refractive index of a material varies with the temperature and with the wavelength of\n\n690\n\n© Woodhead Publishing Limited, 2008\n\nOptical properties\n\nthe light being transmitted. The usual standard conditions of measurement involve the use of monochromatic sodium light, with a wavelength of 589 nm, at 20°C.', 'The different geometries have different advantages and disadvantages and are therefore preferred by different industries and for different applications. While the 45°/0° or 0°/45° directed geometries can correlate to visual perception on glossy materials where the observer tries to exclude surface gloss by placing the object at a specific viewing angle, the diffuse illumination of d/8° geometries in specular-included mode allow for complete non-observation of specular reflection and texture. This is exactly what is desired when the application is colour matching, as the entire colour appearance is needed, regardless of its surface or texture, to serve as the standard to match. Irrespective of which geometry is finally chosen for instrumental colour assessment, it is important that all colour communicating partners agree on one common\n\nTable 2.2 Common measurement geometries\n\nGeometry abbreviation\n\nIlluminating angle\n\nViewing angle\n\nComment\n\nd/0°\n\nDiffuse (sphere)\n\nPerpendicular']",The illuminating angle for the 45°/0° measurement geometry is 45° from the normal.,45° from the normal,1.0,0.9999999999999997,1.0,0.49999999995
What items are needed for the configuration process of the Bluetooth circuit?,"['If all goes well, your screen should look like this:\n\n+++OK ATRE OK ATIDB0D1 OK ATMYA OK ATDLB OK ATWR OK\n\nIn CoolTerm, select the “Connect” icon in the Menu bar. From here, you will continue with the same steps as with the XBee “A,” except that you will use the parameters for XBee “B” listed in the chart in Table 9-1.\n\nThe configuration process is shown in the following listing:\n\n+++OK ATRE OK ATIDB0D1\n\nOnce this is complete, click the Disconnect button in CoolTerm to end the session.\n\nMake: Wearable Electronics\n\n204\n\nOK ATMYB OK ATDLA OK ATWR OK\n\nAnd be sure to double-check them when you’re done, like you did at the end of the preceding sec- tion:\n\n+++OK OK ATID B0D1 ATMY B ATDL A\n\nExperiment: Chat Test\n\nNow that the XBees are configured, they are ready to communicate with each other. If you have two computers and two FTDI Breakout boards avail- able, you can test your “chat” abilities between the two XBees.\n\nParts and materials:', 'Figure 8-59. Connectors used with EL systems from Ada- fruit (left) and SparkFun (right)\n\nSequencers\n\nSequencers enable you to light up multiple EL wires in a sequence. While sequencers can pro- duce complex and interesting effects, they are not necessary in a basic EL circuit.\n\nIf you would like to program your sequencer, Spark- Fun’s EL Sequencer (SF COM-11323) is Arduino- compatible and can individually control up to eight wires. Diana Eng published a fantastic tutorial on the Make Blog about how to use this board in wearables.\n\nA simple EL circuit usually consists of the following:\n\nA power source (in this case, a battery pack) • An inverter • An EL material\n\nKeep in mind that there are also ma- terials that can provide visibility without electronics, namely reflective and glow-in-the-dark materials. See Appendix D for more information.', '(2) XBee Series 1 (802.15.4) with trace or wire antenna (AF 128 or SF WRL-11215)\n\n(2) LilyPad LEDs (SF DEV-10081) • (2) LilyPad Simple Power boards DEV-10085)\n\nConfigure the XBees\n\nTo use XBees in Direct Mode, you’ll use some con- figurations that have already been introduced (in Table 9-1) but you’ll also need to add a few more. Table 9-2 includes all of the configurations that you will need.\n\n(2) 3.7V lithium-ion polymer rechargeable bat- tery (AF 258, SF PRT-00339)\n\n(2) LilyPad Buttons (SF DEV-08776) • Alligator clip test leads (AF 1008, RS 278-1156, SF PRT-11037)\n\nUsing CoolTerm, configure XBees “A” and “B” with the settings provided in Table 9-2. If you need to refresh your memory on how to configure an XBee, see “Configuring XBees” on page 200.\n\nUsing alligator clips and the parts listed, make the circuits shown in Figures 9-34 and 9-35.\n\nTable 9-2. XBee configurations for XBee Direct Mode\n\nAT Command XBee “A” XBee “B”\n\nFunction\n\nATRE\n\n—\n\n—\n\nFactory settings)\n\nreset', 'Now that you have some understanding of how circuits work and how to measure different aspects of them, you can start to think about how to phys- ically construct them. This section will illustrate a variety of ways to bring this basic LED circuit to life.\n\nAs you move through different iterations of this circuit, you’ll see that through the use of different conductive materials it can take on many shapes and sizes. The core electronic components that you work with will be the same in each circuit. What will differ is the materials and tools you use to create the connections between the components.\n\nFigure 1-28 shows the circuit you will create.\n\nFigure 1-28. A circuit with a 3V battery, LED, and resistor\n\nChapter 1\n\n11\n\ntextilestudycenter.com\n\nConstructing Circuits\n\nCR2032 battery (AF1 654, DK2 P189-ND, SF3 PRT-00338)']","The context provided does not mention a Bluetooth circuit. Instead, it discusses the configuration of XBee Series 1 modules in Direct Mode using CoolTerm and specific AT commands. The items needed for this configuration process include:

- CoolTerm software
- XBee Series 1 modules (A and B)
- Table 9-2 with configuration settings for the XBees
- Alligator clip test leads

These are used to configure the XBees ""A"" and ""B"" with the provided settings.",(2) XBee Series 1 (802.15.4) with trace or wire antenna (AF 128 or SF WRL-11215),1.0,0.5633427279147328,1.0,0.3333333333
What is one method mentioned for controlling the molecular weight of polymers?,"['3. Molecular weight determination It is important that the molecular weight characteristics of polymers can be accurately determined.60 Of course, the precise molecular weight determined will depend on the technique used, thus techniques that rely on the measure- ment of colligative properties, such as osmotic pressure, count the number of molecules in solution and, therefore, give the number average molecular weight Mn (Eqn (1)), while other techniques, most notably, light scattering provide an average value based on the weight fractions of molecules of a given mass, to give the weight average molecular mass Mw (Eqn (2)). A simple and commonly used technique for assessing the molecular weight of a polymer is viscometry. In this technique, the time is measured for a dilute solution of polymer to ﬂow through a capillary. Through measuring the times at various polymer concentrations and comparing with the time obtained for the neat solvent, it is possible to obtain a value for the', '3. Molecular weight determination It is important that the molecular weight characteristics of polymers can be accurately determined.60 Of course, the precise molecular weight determined will depend on the technique used, thus techniques that rely on the measure- ment of colligative properties, such as osmotic pressure, count the number of molecules in solution and, therefore, give the number average molecular weight Mn (Eqn (1)), while other techniques, most notably, light scattering provide an average value based on the weight fractions of molecules of a given mass, to give the weight average molecular mass Mw (Eqn (2)). A simple and commonly used technique for assessing the molecular weight of a polymer is viscometry. In this technique, the time is measured for a dilute solution of polymer to ﬂow through a capillary. Through measuring the times at various polymer concentrations and comparing with the time obtained for the neat solvent, it is possible to obtain a value for the', '3. Molecular weight determination It is important that the molecular weight characteristics of polymers can be accurately determined.60 Of course, the precise molecular weight determined will depend on the technique used, thus techniques that rely on the measure- ment of colligative properties, such as osmotic pressure, count the number of molecules in solution and, therefore, give the number average molecular weight Mn (Eqn (1)), while other techniques, most notably, light scattering provide an average value based on the weight fractions of molecules of a given mass, to give the weight average molecular mass Mw (Eqn (2)). A simple and commonly used technique for assessing the molecular weight of a polymer is viscometry. In this technique, the time is measured for a dilute solution of polymer to ﬂow through a capillary. Through measuring the times at various polymer concentrations and comparing with the time obtained for the neat solvent, it is possible to obtain a value for the', 'There is a range of techniques used to determine the molecular weight, including the two cited above,63,64 but the most common method is GPC (or size-exclusion chromatography, SEC).65,66 This chromatographic tech- nique is based upon size-exclusion phenomena and enables the separation and assessment of polydisperse systems, such as polymers and multi-component biological samples.67 In this method, polymers are separated by virtue of their hydrodynamic volume. The technique involves passing a solution of the poly- mer through a column packed with a porous solid phase (often polystyrene cross-linked with divinylbenzene); small molecules can access these pores rather more easily than larger molecules, as a consequence, these larger molecules are eluted ﬁrst. The technique does not give absolute values, but rather gives relative ones; and therefore requires calibration with a series of polymers of known molecular weight. Since the technique relies on the size of the polymer in solution,']","The context provided does not mention any specific methods for controlling the molecular weight of polymers. It primarily discusses techniques for determining molecular weight, such as viscometry and GPC (size-exclusion chromatography). Therefore, I don't know a method mentioned for controlling the molecular weight of polymers based on this context.",The production of polymers with a highly narrow molecular weight distribution by anionic polymerization.,1.0,0.0,0.0,0.0
How does the thermal conductivity of silk compare to that of cotton?,"['489\n\n(6.1)\n\n(6.2)\n\ntextilestudycenter.com\n\n490\n\nP. Kandha Vadivu\n\nstructure of silk fabric. Silk fiber contains higher thermal insulation value as it has lower thermal conductivity (50 mw/m/k) than cotton (71 mw/m/k).', 'Silk, like wool, is an animal fiber and unlike wool, its molecules are in extended form. The protein molecules in silk are highly oriented in the direction of the fiber and can pack tightly together. The forces of attraction between the molecules interact effectively to give the molecular bundles very great strength. The effect of heat on silk is similar to its effect on wool. Thus, at a high temperature, silk will burn. But the molecules in silk are not joined together by cross-links as in wool; so, there are no cross-links between the molecules to break down or rebuild. Silk is therefore able to withstand higher temperatures than wool.\n\n1.3\n\nRegenerated fibers', '6.2. Thermal Insulation\n\nThermal insulation property of the fabric refers to the ability to resist the transmission of heat by all modes. It can also be defined as effectiveness of a fabric in maintaining the normal temperature of the body under equilibrium conditions. The most important thermal property in most of the apparels is the insulation against heat flow, which is measured by thermal resistance. It is defined as the ratio between temperature difference between the two faces and heat flux.\n\nThe thermal resistance, R and thermal conductivity, K are related as follows,\n\nR = d /K\n\nWhere d is the thickness of the material. Since K is roughly constant for different fabrics, hence thermal resistance is approximately proportional to fabric thickness. Thermal insulation value is higher in case of silk fabric compared to cotton fabric. It is due to openness of knit\n\n489\n\n(6.1)\n\n(6.2)\n\ntextilestudycenter.com\n\n490\n\nP. Kandha Vadivu', 'λ = Q/ Fτ×ΔT/σ in Wm-1 K-1\n\nwhere:\n\nQ = amount of conducted heat,\n\nF = area through which the heat is conducted,\n\nτ = time of heat conducting\n\nΔT = drop of temperature,\n\nσ = fabric thickness\n\nThe thermal conductivity results are presented in Table 4 and Table 5 for dry and wet states, respectively. The thermal conductivity values ranged from 32.4 to 35.5 Wm-1 K-1 in its dry state and 53.1 to 65.6 Wm-1 K-1 in its wet state. The copper treatment increased the thermal conductivity of the wool fabric in dry and wet states for all the test combinations (Fig.5). 15% copper treated fabric had the highest thermal conductivity values in its dry and wet states. Moreover, comparing the data sets by analysis of variance “ANOVA” demonstrates that the difference between the untreated and the copper treated ones is\n\n391\n\nEq. (2)\n\ntextilestudycenter.com\n\n392\n\nMuhammet Uzun']","Silk has a lower thermal conductivity (50 W/m·K) compared to cotton (71 W/m·K), which means silk has a higher thermal insulation value than cotton.",Silk fiber has a lower thermal conductivity (50 mw/m/k) than cotton (71 mw/m/k).,0.5,0.7974142534033901,1.0,0.9999999999
What type of symmetry do the constructions follow in the dendritic branching rules?,"['surface at G 1.0. As a result of this reiterative branch cell assembly, it is apparent that these constructions follow systematic dendritic branching rules, with radial symmetry giving a well-deﬁned three-dimensional geometry to the ﬁnal dendritic product.3', 'dendrimers made, using a divergent strategy, is the Starburst® poly(amidoamine) (PAMAM) dendrimer family (Scheme 1).2 This method involved assembling repeat units to introduce branch cells around the initiator core through successive chemical reactions at the peri- phery of the growing macromolecule. The ﬁrst step of PAMAM synthesis involves Michael addition of four moles of methyl acrylate to the nucle- ophilic ethylenediamine core. This leads to an electrophilic carbomethoxy surface, which is then allowed to react with an excess of 1,2-diaminoethane to give a nucleophilic surface at generation zero. Reiteration of these two steps now involves addition of 8 mol of methyl acrylate to give G trophilic, carbomethoxy surface). This is followed by amidation to return to a nucleophilic surface at G 1.0. As a result of this reiterative branch cell assembly, it is apparent that these constructions follow systematic dendritic branching rules, with radial symmetry giving a well-deﬁned', 'However,ﬁbres formed from anisotropic solutions of lower concentration exhibit a different packing arrangement that is equiv- alent to a lateral displacement (b/2) of chains along alternate 200 planes. It should be noted that both crystallographic forms coexist in ﬁbres spun from solutions of intermediate concentration. Northolt and Chapoy24 proposed that hydrogen bonds are formed between adjacent chains lying in the 100 plane. They argued that the chain conformation is primarily governed by competitive intramolecular interactions between the conjugated groups in the chain. Similar interactions are also found for the conformation of ben- zamide, acetanilide and the terephthalamide molecules. These interactions arise from the operation of a resonance effect, which results from an attempt to stabilise coplanarity of the amide groups and the phenylene groups.A counteracting steric hindrance is also found between the oxygen and the ortho-hydrogen of the p-phenylene diamine segment, and', '(i.e. hydrogen). Conversely, rotation around proline residues is restricted owing to the unusual structure of the side chain of this amino acid. The y and F angles, together with the ﬁxed w angles of all the residues, deﬁne the con- formation of the main chain (backbone) of the polypeptide. Certain com- binations of y and F form relatively stable regularly-shaped backbone']","The constructions follow systematic dendritic branching rules with radial symmetry, which gives a well-defined three-dimensional geometry to the final dendritic product.",radial symmetry,1.0,0.7197589393068096,1.0,0.99999999995




  faithfulness              0.9369
  answer_relevancy          0.6698
  context_recall            0.6897
  context_precision         0.5694
